med_income00,med_income90,tot_pop,nonwhite_pop,owner_occ,GEOID
51077,37969,3855,813,473,100000
53114,39483,3722,608,502,200000
55524,41274,3858,875,521,202000
64341,47824,6141,899,1039,300000
40505,30109,5589,1226,454,401000
68225,50714,3458,764,429,401000
50160,37286,7159,1469,724,501000
52577,39083,5472,1055,285,501000
66843,49688,3448,810,427,601000
27196,20217,4610,2092,163,602000
38743,28800,4551,1575,292,701000
35075,26071,7462,2773,383,702000
43721,32500,3906,1010,52,801000
40649,30214,7053,2940,356,802000
84384,62727,5447,1220,260,101010
40361,30000,3708,867,81,101020
28715,21346,8247,2069,348,102000
21759,16176,3857,1544,29,103000
45162,33571,6914,2049,299,104010
30805,22900,5353,1697,55,104020
64308,47800,2977,661,197,105000
110132,81863,1969,460,178,106000
115142,85588,5285,448,960,107000
149085,110819,6474,554,1445,108000
169887,126282,4497,163,1034,201000
71513,53158,3464,381,363,202000
99704,74111,4831,843,639,203000
53363,39667,1954,62,286,301000
39844,29615,1625,114,162,302000
89997,66897,3774,287,608,303000
48136,35781,2340,75,211,304000
47088,35000,2050,89,429,305000
0,0,409,35,0,305990
89087,66220,1851,17,435,401000
37093,27571,1486,188,135,402000
45883,34107,2655,139,439,403000
53972,40119,2114,69,285,404000
71677,53281,1392,9,322,405000
72646,54000,351,4,82,406000
85923,63871,1792,41,426,407000
36267,26957,2903,245,135,408000
0,0,174,37,0,408990
35632,26484,4069,1067,408,501000
35907,26689,4034,1195,432,502000
19224,14291,1873,776,46,503000
28565,21232,1986,711,212,504000
35449,26351,1616,592,164,505000
34067,25321,1634,705,125,506000
25224,18750,1143,240,122,507000
36994,27500,1912,378,265,508000
41828,31090,3167,824,386,509000
38999,28987,3940,310,550,510000
47671,35433,5211,562,828,511000
38848,28875,2356,410,391,512000
58485,43472,3169,36,532,601000
62428,46406,2196,18,360,602000
55217,41042,3206,33,600,603000
57738,42917,4965,73,840,604000
46040,34224,3561,189,469,605000
0,0,19,5,0,605990
40361,30000,1065,39,205,606000
0,0,19,6,0,606990
20076,14924,1326,170,0,607000
36156,26875,1123,27,130,608000
55917,41563,2096,18,320,609000
20102,14942,2689,218,183,610000
20076,14922,1971,221,5,611000
46826,34808,814,43,129,612000
22080,16413,647,92,80,613000
58727,43654,567,35,100,614000
19381,14405,2039,1133,221,701000
26560,19745,3053,2812,58,702000
89159,66273,3417,888,613,703000
22074,16406,1715,1638,0,704000
36077,26818,5810,3425,566,705000
109975,81746,2348,465,460,706000
50821,37778,2198,1251,330,707000
62644,46563,3267,1348,328,708000
37800,28100,2844,1810,253,709000
39012,29000,2020,1182,169,710000
11142,8281,730,432,10,711000
13454,10000,1485,1202,9,712000
22932,17045,281,203,31,801000
32442,24113,1591,1393,130,802000
24713,18370,2547,2513,86,803000
12229,9091,1461,1408,22,804000
25204,18735,4465,4382,89,805000
12773,9494,1128,1001,0,806000
18386,13667,592,585,21,807000
20862,15508,2938,2746,6,808000
41743,31029,3149,1236,187,809000
28558,21227,4891,2889,187,810000
34754,25833,3663,1959,311,811000
30268,22500,3412,3145,156,812000
27517,20455,4427,4204,176,813000
33634,25000,1852,1588,269,814000
30693,22813,2388,2125,171,815000
30268,22500,720,714,76,816000
37368,27778,3713,3663,338,817000
35252,26205,2929,2906,280,818000
48077,35735,3277,3245,283,819000
34754,25833,3193,3070,382,820000
25984,19313,4623,4623,149,821000
40427,30052,4340,4269,382,901000
23423,17411,2104,2084,106,902000
27877,20724,2867,2860,171,903000
25041,18611,1285,1227,150,904000
33857,25167,1517,1476,121,905000
29429,21875,2032,1765,159,906000
42791,31810,3124,601,356,907000
44592,33145,1057,125,203,908000
22499,16726,2233,1588,0,909000
48594,36121,2701,552,412,910000
51738,38457,4722,908,595,911000
39850,29621,3294,1514,337,912000
37754,28065,2455,2217,247,913000
38154,28362,2319,2129,222,914000
35914,26694,4520,3520,361,915000
36130,26855,2897,1696,262,916000
37224,27670,3170,2382,320,917000
41429,30793,3503,3094,318,918000
38160,28368,4161,4023,363,919000
37852,28136,4964,4292,503,920000
43859,32602,5838,1268,772,921000
63273,47031,3072,1639,471,922000
46243,34375,3554,3423,393,923000
27065,20119,5619,5482,411,924000
32429,24107,4648,4576,314,100100
22165,16474,2711,2684,301,100200
38861,28889,3639,3477,440,100300
53107,39476,5259,3801,744,100400
40420,30045,6171,4305,662,100500
49846,37054,5140,534,898,100601
54103,40217,2072,144,276,100602
59297,44079,4651,148,1011,100700
57784,42952,5275,673,976,100800
54784,40722,4097,1871,798,100900
51234,38082,6051,5722,918,101001
45739,34000,5412,4798,682,101002
45175,33578,3384,3338,339,101101
42641,31694,4738,4696,425,101102
0,0,410,254,9,110101
39752,29551,5715,2647,587,110102
35704,26538,1745,620,271,110200
56500,42000,2265,431,517,110300
49289,36638,3560,1148,577,110401
62559,46500,4148,414,972,110402
74781,55586,3409,262,765,110501
47926,35625,3783,509,727,110502
85589,63621,2477,173,899,110601
59926,44545,5673,343,954,110602
75613,56207,6659,1216,1481,120100
40623,30196,3883,2093,430,120200
39431,29310,5225,3647,516,120300
59664,44352,5693,1290,911,120400
30425,22614,2482,2166,147,120500
48765,36250,2505,909,330,120600
51319,38145,2173,842,414,120700
69869,51935,5977,283,1698,130100
75567,56172,4938,126,1310,130200
81194,60354,4647,137,1312,130300
49911,37102,6774,555,1117,130401
60856,45238,4903,196,1402,130402
50730,37708,8037,1470,1539,140101
57345,42625,4030,519,973,140102
56834,42246,7447,465,1540,140200
49636,36894,5407,1762,909,140300
61374,45619,7700,5183,1626,140400
0,0,1305,811,0,150100
39693,29505,6036,3373,535,160100
30706,22826,3823,2480,206,160200
65985,49048,1155,163,230,160300
22958,17065,2787,1918,140,160400
39955,29700,7754,2508,864,160500
49328,36667,6903,1005,990,160600
0,0,252,0,0,160700
56500,42000,6165,315,1529,170100
50042,37197,4262,195,795,170200
54837,40764,6375,120,1606,170300
45811,34052,4580,408,867,170400
50972,37889,5243,328,1111,170500
48090,35746,4484,152,1029,170600
41612,30933,7418,2065,810,170700
52112,38735,4259,328,784,170800
62068,46136,4870,220,901,180100
56716,42158,3955,38,859,180200
68631,51014,3345,73,779,180300
65389,48603,1877,71,445,180400
56651,42109,4080,153,856,180500
