GEOID,tot_pop_90,rc_white_90,lang_eng_90,med_income_90,ed_hs_90,ed_ba_90
000000,1327812,826336,387392,30324.4,452598,236932
000100,7710,6084,2312,35050,2798,1582
000201,7444,6228,2166,36744.333333333336,2106,2078
000202,7716,5966,2278,38160,2528,1720
000300,12282,10484,3608,43731.28571428572,3248,4240
000401,11178,8726,3534,26776.833333333332,2872,3254
000402,6916,5388,1782,36233.75,1554,2158
000501,14318,11380,5510,27200.285714285714,2012,5796
000502,10944,8834,3284,30169,1116,3796
000601,6896,5276,1806,41317.57142857143,1890,2222
000602,9220,5036,2034,18391.5,2974,1928
000701,9102,5952,2696,20384.666666666668,1676,2528
000702,14924,9378,3942,21427.428571428572,2428,3838
000801,7812,5792,1046,33092,534,3192
000802,14106,8226,3468,30142,3228,3058
010101,10894,8454,2506,25123.333333333332,580,2232
010102,7416,5682,630,13068,66,430
010200,16494,12356,6620,19755.333333333332,1134,4792
010300,7714,4626,918,17836,1040,524
010401,13828,9730,5188,19073.2,1890,3556
010402,10706,7312,1470,13214.666666666666,1198,738
010500,5954,4632,2478,28872.75,598,2428
010600,3938,3018,2576,32723,820,1988
010700,10570,9674,5208,39167.875,488,5734
010800,12948,11840,6382,44242,410,7246
020100,8994,8668,4982,52372.4,352,6220
020200,6928,6166,3594,31399.25,478,3382
020300,9662,7976,4496,25114.4,1808,5092
030100,3908,3784,1652,31899.333333333332,1424,1046
030200,3250,3022,1130,22663,1278,820
030300,7548,6974,3492,40063.8,1822,3556
030400,4680,4530,2278,28166.333333333332,1350,1814
030500,4100,3922,1432,34475.666666666664,1410,1160
030599,818,748,0,0,192,38
040100,3702,3668,1900,33998.2,790,1726
040200,2972,2596,1042,21521.666666666668,1076,298
040300,5310,5032,2220,34555.2,1632,1530
040400,4228,4090,1704,32693,1622,910
040500,2784,2766,1040,41380.666666666664,944,854
040600,702,694,176,41806,332,56
040700,3584,3502,1614,40914.25,1024,1074
040800,5806,5316,2532,27307.666666666668,1570,1800
040899,348,274,0,0,82,14
050100,8138,6004,2148,21356.75,3852,506
050200,8068,5678,1768,24567,3654,484
050300,3746,2194,984,11005.333333333334,1836,128
050400,3972,2550,1016,18864,2238,214
050500,3232,2048,602,25469,1584,170
050600,3268,1858,606,20989,1752,90
050700,2286,1806,664,16199,1354,58
050800,3824,3068,988,25667.333333333332,2194,218
050900,6334,4686,1470,27875.6,3068,248
051000,7880,7260,2618,20116.5,4384,466
051100,10422,9298,2942,28453.625,5094,1094
051200,4712,3892,1090,29384.75,2610,308
060100,6338,6266,2490,31818,3072,752
060200,4392,4356,1638,36128.25,1896,744
060300,6412,6346,2522,32157.6,2908,944
060400,9930,9784,3890,24441.333333333332,4646,1222
060500,7122,6744,2632,27917.428571428572,3212,728
060599,38,28,0,0,18,20
060600,2130,2052,878,29735,632,500
060699,38,26,0,0,0,0
060700,2652,2312,736,11282,1286,26
060800,2246,2192,988,20646,1114,196
060900,4192,4156,1514,30494.8,1800,542
061000,5378,4942,2056,14889,2690,224
061100,3942,3500,1710,10001.666666666666,2190,142
061200,1628,1542,550,30446,894,88
061300,1294,1110,480,21607,598,218
061400,1134,1064,476,26586.666666666668,190,462
070100,4078,1812,1248,29690.571428571428,1538,1216
070200,6106,482,342,14634.75,3206,514
070300,6834,5058,2854,32679.6,1590,3086
070400,3430,154,344,14259,1810,50
070500,11620,4770,3068,27578.6,3568,3200
070600,4696,3766,1980,51535.333333333336,568,2432
070700,4396,1894,1758,36449.666666666664,730,1526
070800,6534,3838,3002,31713,1216,2404
070900,5688,2068,2080,32041.666666666668,1306,1628
071000,4040,1676,1498,26430.666666666668,996,1446
071100,1460,596,534,6558,662,296
071200,2970,566,466,10665,1222,448
080100,562,156,106,14716.333333333334,320,26
080200,3182,396,398,22619,1424,122
080300,5094,68,1032,17318.333333333332,1798,152
080400,2922,106,890,8501.666666666666,1128,50
080500,8930,166,2528,9565.5,3366,368
080600,2256,254,508,7743,942,72
080700,1184,14,530,8084,534,70
080800,5876,384,574,15686.666666666666,1840,310
080900,6298,3826,1928,31377.8,1732,1266
081000,9782,4004,2686,23885.5,3088,1968
081100,7326,3408,1640,25665.5,2710,1400
081200,6824,534,1260,24797.25,2446,392
081300,8854,446,2318,15599,3998,262
081400,3704,528,1050,28115.25,940,626
081500,4776,526,1128,19564,2154,462
081600,1440,12,366,25250,558,74
081700,7426,100,2100,19550,3026,634
081800,5858,46,2038,24691.5,2120,532
081900,6554,64,1864,27992,2016,758
082000,6386,246,1850,27151,2866,400
082100,9246,0,2724,16322.4,4186,492
090100,8680,142,2262,27430.166666666668,3434,628
090200,4208,40,1008,17203,1706,122
090300,5734,14,1510,21810.6,2210,344
090400,2570,116,578,16683.333333333332,900,300
090500,3034,82,386,29816.75,1094,38
090600,4064,534,396,23071.5,1532,92
090700,6248,5046,1674,23639,3290,514
090800,2114,1864,682,30450,1158,188
090900,4466,1290,1232,26558,1296,648
091000,5402,4298,1532,24112.2,2228,820
091100,9444,7628,2522,33640,3728,936
091200,6588,3560,1550,30605.25,2312,896
091300,4910,476,330,25994.333333333332,1904,172
091400,4638,380,690,30784.4,1754,406
091500,9040,2000,1478,26316.75,3522,434
091600,5794,2402,1344,24532.25,1898,628
091700,6340,1576,1246,29447.75,2354,530
091800,7006,818,1168,27773,2440,374
091900,8322,276,1678,30309.6,3662,220
092000,9928,1344,1748,29267.4,3544,962
092100,11676,9140,3282,29052.571428571428,4912,1080
092200,6144,2866,1550,43754.5,2206,1196
092300,7108,262,1272,34340.2,2610,482
092400,11238,274,2744,18515,4728,614
100100,9296,144,2166,20421.85714285714,3790,288
100200,5422,54,1012,17412.2,1946,280
100300,7278,324,1516,31317.166666666668,2684,530
100400,10518,2916,2354,37277,3482,1292
100500,12342,3732,2704,33614,4162,1412
100601,10280,9212,3048,32393.4,3694,1326
100602,4144,3856,1284,32790.2,1896,422
100700,9302,9006,3374,36732.71428571428,3946,1310
100800,10550,9204,3878,33741.142857142855,3902,1880
100900,8194,4452,2158,35218.333333333336,2854,1308
101001,12102,658,2766,35283.666666666664,4338,1070
101002,10824,1228,2862,30781.5,3950,762
101101,6768,92,1466,29680.6,2356,488
101102,9476,84,1810,29195.5,3390,494
110101,820,312,52,4999,284,22
110102,11430,6136,2632,28711.2,3968,1906
110200,3490,2250,896,22344,1442,238
110300,4530,3668,1260,41511.666666666664,1560,930
110401,7120,4824,1570,35708.4,2808,770
110402,8296,7468,2434,38390.5,3196,1348
110501,6818,6294,2056,48213.75,1942,1822
110502,7566,6548,2376,30336.75,3130,1180
110601,4954,4608,1618,49267.8,1408,1770
110602,11346,10660,3244,39339.333333333336,4038,2780
120100,13318,10886,4208,55231.666666666664,2768,5480
120200,7766,3580,1950,29842.4,2470,1798
120300,10450,3156,1598,29884.2,3514,1574
120400,11386,8806,3566,35043.666666666664,2634,4500
120500,4964,632,260,22823.75,2074,240
120600,5010,3192,1338,35759.25,1480,1406
120700,4346,2662,1468,35584.333333333336,934,1372
130100,11954,11388,4206,39491.875,3640,4036
130200,9876,9624,3036,50159.5,2566,2996
130300,9294,9020,2902,53204.666666666664,2174,2958
130401,13548,12438,5094,31990.4,5812,2564
130402,9806,9414,3684,38213.8,3828,1918
140101,16074,13134,4856,32915.166666666664,6254,1972
140102,8060,7022,2278,35062.166666666664,2962,1156
140200,14894,13964,4792,37619.77777777778,5744,2314
140300,10814,7290,3068,30594.5,4290,1306
140400,15400,5034,3790,43716.71428571428,6030,1604
150100,2610,988,0,0,1710,54
160100,12072,5326,1844,29457.285714285714,4556,574
160200,7646,2686,1146,21318.6,3336,536
160300,2310,1984,1204,27000,726,824
160400,5574,1738,630,15540.666666666666,2332,222
160500,15508,10492,4246,23868.5,7456,684
160600,13806,11796,4024,30796.88888888889,6304,1374
160700,504,504,0,0,422,82
170100,12330,11700,3722,36342,6148,968
170200,8524,8134,2630,30949.2,4394,522
170300,12750,12510,3654,36690.875,6198,1306
170400,9160,8344,3058,28159.4,4770,606
170500,10486,9830,4164,31370.6,4858,1464
170600,8968,8664,3110,30360.166666666668,4366,882
170700,14836,10706,4448,23113.222222222223,7078,808
170800,8518,7862,2994,31382.5,3960,860
180100,9740,9300,3886,35451.6,3778,1780
180200,7910,7834,2846,37828.166666666664,3448,856
180300,6690,6544,2008,42054.6,2204,1128
180400,3754,3612,1232,41075.333333333336,1106,742
180500,8160,7854,3180,36325.4,2942,1292
